COD_PROD,NOME,SUBGRUPO,SUBGRUPO_ID
0133.2010,ABACATE,Fruticultura,8
0119.3010,ABACAXI,Fruticultura,8
0119.9010,ABÓBORA (JERIMUM MORANGA,Olericultura,9
0121.2010,ABOBRINHA,Olericultura,9
0133.2020,AÇAÍ (cultivo),Fruticultura,8
0121.1010,ACELGA,Olericultura,9
0133.2030,Acerola ou cereja-das-antilhas,Fruticultura,8
0121.1020,AGRIÃO,Olericultura,9
0121.1030,AIPO OU SALSÃO,Olericultura,9
0121.1040,ALCACHOFRA,Olericultura,9
0121.1050,ALFACE,Olericultura,9
0119.4010,ALHO,Olericultura,9
0121.1070,ALMEIRÃO OU CHICÓRIA AMARGA,Olericultura,9
0111.0020,ARROZ EM CASCA,Alimento básico,10
0133.2080,BANANA,Fruticultura,8
0121.3040,Batata-baroa ou mandioquinha-salsa  ,Olericultura,9
0121.3050,BATATA-DOCE,Olericultura,9
0119.4020,BATATA-INGLESA,Olericultura,9
0121.2020,BERINJELA,Olericultura,9
0121.3060,BETERRABA,Olericultura,9
0121.1120,BRÓCOLIS,Olericultura,9
0135.0010,CACAU (AMÊNDOA),Fruticultura,8
0134.0020,CAFÉ EM GRÃO (Total arabica + Conilon),Cafeicultura,11
0134.0021,café arábica (em grão),Cafeicultura,11
0134.0022,café canephora,Cafeicultura,11
0113.0010,CANA-DE-AÇÚCAR,Cana-de-açúcar ,12
0119.2050,Cana (forrageira para corte),Outros produtos agrícolas,13
0133.2120,CAQUI,Fruticultura,8
0121.3070,CARÁ,Olericultura,9
0119.4030,CEBOLA,Olericultura,9
0121.5120,CEBOLINHA (FOLHA),Olericultura,9
0121.3080,CENOURA,Olericultura,9
0121.1150,CHICÓRIA,Olericultura,9
0121.2030,CHUCHU,Olericultura,9
0133.3030,COCO-DA-BAÍA,Fruticultura,8
0121.5130,COENTRO (FOLHA),Olericultura,9
0121.6030,Cogumelos comestíveis  ,Olericultura,9
0121.1160,COUVE,Olericultura,9
0121.1200,Couve-flor ,Olericultura,9
0121.1230,Espinafres (comum da Nova Zelândia),Olericultura,9
0119.1030,FEIJÃO COMUM DE COR EM GRÃO,Alimento básico,10
0119.1040,FEIJÃO COMUM PRETO EM GRÃO,Alimento básico,10
0119.1060,FEIJÃO EM GRÃO (QUALQUER OUTRO: ADZUKI MUNGO DE LIMA),Alimento básico,10
0119.1050,FEIJÃO FRADINHO CAUPI,Alimento básico,10
0121.5200,Gengibre (rizoma)  ,Olericultura,9
0116.0030,GERGELIM,Olericultura,9
0133.2220,GOIABA,Fruticultura,8
0133.2230,Graviola,Fruticultura,8
0121.3110,INHAME,Olericultura,9
0121.2040,Jiló  ,Olericultura,9
0131.0010,LARANJA,Fruticultura,8
0133.2310,Lichia ou lechia,Fruticultura,8
0133.1040,LIMÃO,Fruticultura,8
0133.2330,MAMÃO,Fruticultura,8
0119.4040,MANDIOCA (AIPIM MACAXEIRA) ( para indústria),Alimento básico,10
9119.4040,MANDIOCA (AIPIM MACAXEIRA) ( para mesa,Alimento básico,10
0133.2340,MANGA,Fruticultura,8
0133.2360,MARACUJÁ,Fruticultura,8
0121.2050,Maxixe (fruto)  ,Olericultura,9
0119.3020,MELANCIA,Fruticultura,8
0119.3030,MELÃO,Fruticultura,8
0121.6040,MILHO EM ESPIGA (VERDE),Olericultura,9
0111.0070,MILHO EM GRÃO (Total - Todas as safras),Alimento básico,10
0111.0071,MILHO EM GRÃO (1ªsafra),Alimento básico,10
0111.0072,MILHO EM GRÃO (2ª e 3ª safra),Alimento básico,10
0119.2130,Milho (forrageira para corte),Outros produtos agrícolas,13
0121.2060,MORANGO,Fruticultura,8
0133.3050,NOZ MACADÂMIA,Fruticultura,8
0139.9060,PALMITO (cultivo),Outros produtos agrícolas,13
0121.2070,Pepino (fruto)  ,Olericultura,9
0133.2410,PÊSSEGO,Fruticultura,8
0121.5270,Pimenta,Olericultura,9
0139.1060,PIMENTA-DO-REINO,Especiaria,14
0121.2080,Pimentão  ,Olericultura,9
0121.2090,Quiabo  ,Olericultura,9
0121.3140,Rabanete  ,Olericultura,9
0121.1260,Repolho ,Olericultura,9
0121.1270,Rúcula ou pinchão  ,Olericultura,9
0121.5300,Salsa   ,Olericultura,9
0121.1290,Taioba (folha)  ,Olericultura,9
0133.1070,TANGERINA,Fruticultura,8
0121.2100,TOMATE ESTAQUEADO,Olericultura,9
0139.1070,URUCUM (cultivo),Outros produtos agrícolas,13
0132.0010,UVA (PARA MESA),Fruticultura,8
0132.0710,UVA ( Total - uva para mesa + uva para vinho),Fruticultura,8
0132.0020,UVA (PARA VINHO),Fruticultura,8
0121.4060,VAGEM (FEIJÃO VAGEM),Olericultura,9
0139.2010,BORRACHA,Outros produtos agrícolas,13
